text,category,document_id,source_file
"My point is that you set up your views as the only way to believe.  Saying 
that all eveil in this world is caused by atheism is ridiculous and 
counterproductive to dialogue in this newsgroups.  I see in your posts a 
spirit of condemnation of the atheists in this newsgroup bacause they don'
t believe exactly as you do.  If you're here to try to convert the atheists 
here, you're failing miserably.  Who wants to be in position of constantly 
defending themselves agaist insulting attacks, like you seem to like to do?!
I'm sorry you're so blind that you didn't get the messgae in the quote, 
everyone else has seemed to.",alt.atheism,alt.atheism_0,sklearn.fetch_20newsgroups
"
By '8 grey level images' you mean 8 items of 1bit images?
It does work(!), but it doesn't work if you have more than 1bit
in your screen and if the screen intensity is non-linear.

With 2 bit per pixel; there could be 1*c_1 + 4*c_2 timing,
this gives 16 levels, but they are linear if screen intensity is
linear.
With 1*c_1 + 2*c_2 it works, but we have to find the best
compinations -- there's 10 levels, but 16 choises; best 10 must be
chosen. Different compinations for the same level, varies a bit, but
the levels keeps their order.

Readers should verify what I wrote... :-)",comp.graphics,comp.graphics_1,sklearn.fetch_20newsgroups
"FIRST ANNUAL PHIGS USER GROUP CONFERENCE

          The First Annual PHIGS User Group Conference was held March 21-24
          in Orlando, Florida.  The conference was organized by the Rensse-
          laer Design Research Center in co-operation with  IEEE  and  SIG-
          GRAPH.   Attendees  came  from five countries spanning three con-
          tinents.   A  good  cross-section  of  the  PHIGS  community  was
          represented  at this conference with participants including PHIGS
          users, workstation vendors, third-party PHIGS implementors, stan-
          dards  committee  members,  and  researchers  from  industry  and
          academia.  The opening speaker, Dr. Richard Puk, challenged PHIGS
          users  to  ""take  charge of your PHIGS"" by participating in PHIGS
          standardization activities and communicating their needs to PHIGS
          implementors.    The   closing  speaker,  Dr.  Andries  Van  Dam,
          described his vision of the future of graphics standards  ""beyond
          PHIGS"".

          Technical paper sessions in the conference covered the  following
          topics:  PHIGS  and  X, Application Toolkits, Application Issues,
          Texture Mapping, NURBS,  PHIGS  Extensions,  and  Object-Oriented
          Libraries and Frameworks.  Panel sessions on PHIGS and PEX, PHIGS
          Non-Retained Data, Real-World CAD Applications Using  PHIGS,  and
          Portability  Issues generated enthusiastic discussions and formed
          a good forum for exchange of ideas, needs, and experiences.   The
          conference  also included a day full of tutorials on topics rang-
          ing from mathematics for 3D  graphics  to  object-oriented  tools
          based on PHIGS.

          Next year's conference is planned for March, 1994.

          PHIGS EVERYWHERE

          At the conference, PHIGS  vendors   described   and  demonstrated
          PHIGS  products  that  run on all types of computers, from PCs to
          mainframes.

          Megatek Corporation demonstrated their PHIGS extensions including
          conditional traversal, composite logical input devices, texturing
          and translucency.

          Template Graphics  Software  launched  FIGARO+  PRO,  the  Photo-
          Realistic  Option  for  PHIGS+.  FIGARO+  PRO  is designed to add
          advanced rendering to the existing PHIGS+ API, with features like
          ray   tracing,  materials,  anti-aliasing  and  texture  mapping.
          Radiosity support is also planned.

          FIGARO+ is an example of how TGS continues to add newly  emerging
          graphics  features to their products.  FIGARO+ supports immediate
          mode extensions to PHIGS and also supports SUN XGL,  HP  Starbase
          and SGI GL/OpenGL. FIGARO+ for NT will be released this summer.

          TGS also demonstrated the latest versions of FIGraph, a  powerful
          ""2-call""  charting  system  based on PHIGS+, and FIGt, an object-
          oriented utility library for PHIGS/PEX developers.

          G5G and Gallium Software demonstrated a new version of GPHIGS  on
          Silicon  Graphics  workstations. Scheduled for summer, 1993, Ver-
          sion 3.0 of GPHIGS, the company's  PHIGS+  library  for  worksta-
          tions,  will include an advanced PHIGS debugger that allows PHIGS
          developers to display and browse PHIGS structures and other PHIGS
          internal  state.  G5G  also  described  their Non-Duplicated Data
          Store that stores pointers to application data in the GPHIGS  CSS
          for  more  efficient  use  of  memory. In addition, G5G described
          their application GSE that allows application callback  functions
          during  GPHIGS traversal.  GPHIGS and PHIGURE, G5G's data visual-
          izer and application development toolkit, are currently available
          on  all  major  workstations  that support GL, X Windows, PEX, or
          Starbase.

          Wise Software presented a slide show of  Z-PHIGS  for  MS-Windows
          and ARENA, a PHIGS based modeller/render. Z-PHIGS implements most
          of the PHIGS+ primitives.  In addition Z-PHIGS has built in  many
          advanced  rendering features like texture mapping, shadow genera-
          tion, area quick updates and ray tracing. A demo disk of  Z-PHIGS
          or ARENA is available on request.

          ATC exhibited GRAFPAK-PHIGS, their full-featured PHIGS  implemen-
          tation  based  on  DEC  PHIGS. GRAFPAK-PHIGS is available on most
          workstation platforms with C, FORTRAN and Ada bindings and incor-
          porates PEX support.

          Within the booth sponsored by Advanced Technology Center, Digital
          Equipment  Corporation demonstrated DEC PHIGS V2.4 running on the
          DEC 3000/400 AXP PXG. ATCs' GRAFPAK-PHIGS is a port of DEC PHIGS.
          DEC  PHIGS  V2.4 contains most PHIGS and PHIGS PLUS features with
          support for PEX V5.1  protocol.  DEC  PHIGS  also  contains  most
          GM/EDS   PHIGS  extensions  including  post-to-view  as  well  as
          proprietary extensions to support immediate  mode  rendering  and
          the use of PHIGS in an X11 environment.

          AXP, DEC, and DEC PHIGS are trademarks of Digital Equipment  Cor-
          poration.  GRAFPAK-PHIGS and ATC are trademarks of Advanced Tech-
          nology Center. PEX and X11 are trademarks of Massachusetts Insti-
          tute of Technology.

          The IBM exhibit featured a GTO accelerator attached to an IBM 340
          workstation running graPHIGS and PEX.

          Hewlett Packard and SHOgraphics demonstrated at the conference. A
          Hewlett  Packard  machine was coupled to display on a SHOgraphics
          PEX terminal. HP showcased their latest  PHIGS  product  enhance-
          ments.


          PHIGS USER GROUP

          The PHIGS Users Group was formed to aid the development of  PHIGS
          applications  and provide user feedback to PHIGS implementors and
          PHIGS standards bodies.  For more  information  about  the  PHIGS
          Users Group, send e-mail to:

                    phigsug@cadrt10.me.vt.edu

          or write to:

                    Sankar Jayaram
                    Virginia Polytechnic Institute
                    114 Randolph Hall
                    Blacksburg, Va. 24061-0238
                    FAX: 703-231-9100


          VENDOR CONTACTS

          Megatek Corporation
          TEL (619) 455-5590
          FAX (619) 453-7603

          Template Graphics Software
          TEL (800) 544-4847
          FAX (619) 452-2547

          WISE software GmbH
          TEL +49-451-3909-413
          FAX +49-451-3909-499

          G5G - North American Sales
          TEL (800) 267-2626
          FAX (613) 592-1278

          Advanced Technology Center
          TEL (800) 999-5711
          FAX (714) 583-9213

          Digital Equipment Corporation
          TEL (603) 884-5111

          International Business Machines Corporation
          TEL (800) 426-3333

          Hewlett Packard Company
          TEL (303) 229-3800

          COPIES OF THE CONFERENCE PROCEEDINGS

          Copies of the conference proceedings may be obtained by  contact-
          ing Mary Johnson at:

                    Johnson, Mary
                    Design and Manufacturing Institute
                    Rensselaer Polytechnic Institute
                    110 Eighth Street
                    Building CII, Room 7015
                    Troy, NY  12180-3590
                    Tel:  (518)276-6754
                    Fax:  (518)276-2702
                    Email:  mjohnson@rdrc.rpi.edu
",comp.graphics,comp.graphics_2,sklearn.fetch_20newsgroups
"I responded to Jim's other articles today, but I see that I neglected
to respond to this one.  I wouldn't want him to think me a hypocrite
for not responding to *every* stupid article on t.r.m.

[dictionary definitions of ""not"" ""disagree"" and ""agree"" deleted]

Oh, but I'm weary of trying to wade through Jim's repertoire of 
red herrings and smoke screens.

Let's see what we get when we run all four articles posted by Jim today
through the 'discord' filter (a Markov chain program that Steve Lamont
was kind enough to send me):

	Taking action? A white geese be held
	as an accomplice to be held as
	a decision upon the door
	A black and white goose waddles past
	the eyes of the door. 
	Hits it with the confidence interval for 
	that individual is held responsible 
	for that, that individual 
	may be held as a 
	getaway car may be held 
	as an uncountably large number 
	of the driver of something 
	and agree.

	A black goose 
	waddles past the person imprisoned?

	White goose waddles past the 
	confidence interval for the population 
	of geese be axed, 
	fine.
	And white goose 
	waddles past the door.

Does running Jim's articles through 'discord' make them more
coherent?  Less coherent?

Or has 'discord' turned Jim's articles into an angst-ridden poem
about making choices in a world filled with uncertainty, yet being
held responsible for the choices we make?  Do the geese symbolize
an inner frustration with ambiguity, a desire that everything be
black and white, with no shades of gray?  Does the ""getaway car""
tell us that to try to renounce the existential nature of our
being is not to ""get away"" from responsibility for our actions,
but rather to take the role of the passive accomplice, the
""driver"" of the getaway car, as it were?  Does the juxtaposition
of man and machine, car and driver, reveal a subtext: an internal
conflict between determinism and moral responsibility?

Or am I reading too much into a collaboration between Jim and
a random number generator?",talk.religion.misc,talk.religion.misc_3,sklearn.fetch_20newsgroups
"
Well, I am placing a file at my ftp today that contains several
polygonal descriptions of a head, face, skull, vase, etc. The format
of the files is a list of vertices, normals, and triangles. There are
various resolutions and the name of the data file includes the number
of polygons, eg. phred.1.3k.vbl contains 1300 polygons.


In order to get the data via ftp do the following:

	1) ftp taurus.cs.nps.navy.mil
	2) login as anonymous, guest as the password
	3) cd pub/dabro
	4) binary
	5) get cyber.tar.Z

Once you get the data onto your workstation:

	1) uncompress data.tar.Z
	2) tar xvof data.tar

If you have any questions, please let me know.

george dabro
dabro@taurus.cs.nps.navy.mil
-- 
george dabrowski
Cyberware Labs",comp.graphics,comp.graphics_4,sklearn.fetch_20newsgroups
"
I'm also interested in info both public domain and commercial graphics library 
package to do PC VGA graphics.  

I'm currently working on a realtime application running on a PCC with a 
non-DOS kernel that needs to do some simple graphics.  I'm not sure if 
reentrancy of the graphics library is going to be an issue or not.  
I suspect I'll implement the display controller as a server process that 
handles graphics requests, queued on a mailbox, one at a time.  If this 
provides sufficiently frequent display updates then I believe that I can 
restrict all graphics operations to be performed by the server and thus 
constrain access to the library to a this single process and avoid the need
for a reentrant graphics library.  

Being fairly new to the realtime systems world I may be overlooking something,
what do you think?",comp.graphics,comp.graphics_5,sklearn.fetch_20newsgroups
"


	They did the rollout already??!?  I am going to have to pay more
attention to the news.  Are any of the gifs headed for wuarchive??
 

Patrick

",sci.space,sci.space_6,sklearn.fetch_20newsgroups
"George William Herbert sez:


I like your optimism, George.  I don't know doots about raising that kind
of dough, but if you need people to split the work and the $700M, you just
give me a ring :-)  Living alone for a year on the moon sounds horrid, but
I'd even try that, if I got a bigger cut.  :-)

-Tommy Mac
-------------------------------------------------------------------------
Tom McWilliams 517-355-2178 wk   \\ As the radius of vision increases,
18084tm@ibm.cl.msu.edu 336-9591 hm \\ the circumference of mystery grows.",sci.space,sci.space_7,sklearn.fetch_20newsgroups
"From the ""JPL Universe""
April 23, 1993

VLBI project meets with international space agencies",sci.space,sci.space_8,sklearn.fetch_20newsgroups
" 
]The ""corrupted over and over"" theory is pretty weak.  Comparison of the
]current hebrew text with old versions and translations shows that the text
]has in fact changed very little over a space of some two millennia.  This
]shouldn't be all that suprising; people who believe in a text in this manner
]are likely to makes some pains to make good copies.
 
Tell it to King James, mate.
 
]C. Wingate        + ""The peace of God, it is no peace,
]                  +    but strife closed in the sod.
]mangoe@cs.umd.edu +  Yet, brothers, pray for but one thing:
]tove!mangoe       +    the marv'lous peace of God.""
 ",alt.atheism,alt.atheism_9,sklearn.fetch_20newsgroups
