URI,name,text
<http://dbpedia.org/resource/Tom_Bancroft>,Tom Bancroft,tom bancroft born 1967 london is a british jazz drummer and composer he began drumming aged seven and started off playing jazz with his father and identical twin brother phil after studying medicine at cambridge university he spent a year studying composition and arranging at mcgill university in montreal canada qualifying as a doctor in 1992 he then worked as a jazz musician and composer supporting his music income with locum work as a hospital doctor until 1998 when he began starting music related companies he is married to singer gina rae and has two children sam and sophie in 2004 he received the creative scotland awardin 1998 he launched caber music with support from the national lottery fund which went on to release over thirty cds over the next seven years to critical acclaim including two bbc jazz awards for best cd and numerous album of the year placings he has subsequently started the company abc creative music with his twin brother phil bancroft which develops creative music education resources which are now being used in more than 500 schools in scotlandas a drummer he has studied with jo morello joey baron and andrew cyrille and played with many musicians including sun ra joakim milder charlie mariano hamiett bluiett liane carroll oliver lake george colligan david berkman tommy smith julian argelles emil vicklicky martin taylor sheila jordan shooglenifty karen mathieson reid anderson billy jenkins bill wells geri allen mr mcfalls chamber and martyn bennetthe is currently the drummer with the dave milligan trio the chick lyall trio and kevin mackenzies vital signs the laura macdonald quartet and octet and plays in an improvising duo with the italian guitarist enzo roccohe is drummer and coleader of trio aab whose first album cold fusion was named an album of 1999 by bbc radio 3 and whose second album wherever i lay my home thats my hat was an album of 2001 in the guardian and picked in a list of 100 essential all time jazz albums by mojo magazine in 2001 they also released stranger things happen at c in 2002 reactivated in 2011 trio aab performed at the delhi jazz festivalas a band leader and composer he has led orchestro interrupto formerly the tom bancroft orchestra a contemporary jazz big band producing the album pieology in 1998 many festival performances a uk tour and a live concert broadcast on bbc radio 3 in 2004 the band toured the uk with geri allen and the tour was broadcast on bbc radio 3 and received five star reviews in the guardian and the scotsman and was voted jazz gig of the year in manchesters city limits and londons time out magazines orchestri interrupto released a cd in 2009 of the music from the geri allen tour with chick lyall on piano entitled the ballad of linda crawford bancroft has also composed for smaller groups including the orange ear ensemble octet and kilt couture a collaboration with french group arfi in 2006 he launched the new tom bancroft 6 pack as well as a spinoff childrens focussed band from the orchestra called kidsamonium which premiered at the gateshead international jazz festival at the sage gateshead and also at the cheltenham jazz festival in 2006 and went on to perform all over europebancrofts compositions have been used in radio film dance television and theatre he has been commissioned by bbc scotland bbc radio 3 glasgow international jazz festival assembly direct birmingham jazz and the national youth jazz orchestra of scotland he has danced in played and composed music for life on the planets surface with kelsey michael and a case for a picnic pt2 tracing houdini and hoops hats acrobats with the choreographer ruby worthhe has led many large scale community and education projects including 150 primary school children performing at the london jazz festival 200 at perth concert hall with classical percussionist colin currie and 100 parents grandparents and children playing drums and percussion at the big stix project at the gateshead jazz festivalbancroft is an active teacher and educator from private drum students to teaching composition and leading big bands he is an apple distinguished educator he has always been active in setting up new ways to promote jazz and improvisation he curated a series of mini festivals for uk and european musicians inside the glasgow jazz festival in the 1990s called clandemonium and europhonium he was active in setting up the scottish jazz federationin 2010 he was musical director of major dance show off kilter which played in major venues across scotland toured scotland with the dave milligan trio and premiered the band of eden malefemale big band to critical acclaimin late 2010 in his role at abc creative music bancroft launched the website abc creative music online to allow scottish schools to teach creative music by smartboard
<http://dbpedia.org/resource/Bart_Zeller>,Bart Zeller,barton wallace zeller born july 22 1941 is a former professional baseball catcher he played one game in major league baseball in 1970 for the st louis cardinals he recently served as manager of the joliet slammers of the frontier league but was released on september 10 2012zeller was signed by the cardinals in 1963 and spent four years in the cardinals farm system after missing the 1967 season he spent 1968 and 1969 with the lewiston broncs and arkansas travelers respectively zeller played in his only major league game on may 21 1970 against the philadelphia phillies he was inserted to catch the bottom of the ninth inning zeller never had a plate appearance but was credited with one put out on billy mccools strikeout of jim hutto zeller batted and threw righthanded his jersey number was 29 at the time of play he was 6 ft 1 in tall and weighed 185 lbzeller was released as an active player by the cardinals on june 8 but stayed on as a coach for the balance of the 1970 season he played in the minors in 1971 in the milwaukee brewers and new york yankees organizationszeller was the hitting coachthird base coach for the southern illinois miners of the frontier league an independent baseball league zeller began working for the miners in their inaugural 2007 season before coming to the miners zeller spent two seasons with the sioux falls canaries as a bench coach zeller was named as the first manager of slammers in january 2011zeller is currently managing the washington wild things of the frontier league
<http://dbpedia.org/resource/Caitlin_Morrall>,Caitlin Morrall,caitlin shea morrall machol born may 2 1983 is a beauty queen from burlington wisconsin who competed in the 2008 miss usa pageantmorrall who had previously competed in the miss wisconsin america system won the miss wisconsin usa 2007 title in the state pageant held at richland center on 2 september 2006 she competed in the nationally televised miss usa 2007 pageant which was broadcast live from the kodak theatre in hollywood california on march 23 2007 where she placed in top 15 this was the best finish by a contestant from wisconsin in 28 yearsin june 2006 morrall placed first runnerup in the miss wisconsin competition where she competed as miss burlington area chocolatefest she had previously placed 3rd runnerup in 2004 1st runnerup in 2003 and 2nd runnerup in 2002 morrall has held other local titles such as miss racine in 2002 miss milwaukee in 2003 and miss southern wisconsin in 2004 despite being eligible to compete in the miss america system for one more year morrall made the decision to compete in the miss wisconsin usa pageant one week before applications for the pageant closedmorrall is a 2001 graduate of burlington high school wisconsin and is a 2008 graduate of alverno college in milwaukee with a bachelor of arts degree in professional communicationcaitlin is currently the traffic reporter in the morning for wtmjtv 4
<http://dbpedia.org/resource/Paddy_Roche>,Paddy Roche,patrick joseph christopher paddy roche born 4 january 1951 is an irish former football goalkeeperborn in dublin roche started his career with shelbourne with whom he won the first of his eight full international caps during his time with shels he made 100 league of ireland appearances and scored one league goal he was on the losing side in the 1973 fai cup final as shels lost to cork hibernians in a replay he transferred to manchester united in 1973 for a fee of 15000roche made 46 league appearances for united largely playing secondfiddle to alex stepney and then gary bailey in 1982 he transferred to brentford before joining halifax town two years later he moved on in 1989 after 184 football league appearances for the shaymen briefly spending time with chester city as cover for billy stewart however he left after failing to make any firstteam appearances for the cheshire side once retired he returned to halifax to take on a role coaching youngsters for their football in the community schemeroches brother willie played for st patricks athletic and his nephew paul played for university college dublinroche played 8 games for the republic of ireland national football team keeping three clean sheets
<http://dbpedia.org/resource/H._Jeff_Kimble>,H. Jeff Kimble,h jeff kimble is the william l valentine professor and professor of physics at caltech his research is in quantum optics and is noted for groundbreaking experiments in physics including one of the first demonstrations of teleportation of a quantum state first demonstration is disputed with anton zeilinger quantum logic gate and the development of the first single atom laser according to elizabeth rogan osa ceo jeff has led a revolution in modern physics through his pioneering research in the coherent control of the interactions of light and matter kimbles main research focus is in quantum information science and the quantum dynamics of open systemskimble graduated summa cum laude from abilene christian university in 1971 and earned his masters and doctoral degrees from university of rochester culminating in 1979 he was advised by leonard mandel along with mandel kimble observed the first photon antibunching he spent two years as a scientist for the general motors research laboratory until 1979 when he joined the faculty at the university of texas at austin he moved to the california institute of technology in 1989kimble is a fellow of the american association for the advancement of science the american physical society and the optical society of america and is a member of the national academy of sciences
<http://dbpedia.org/resource/Greg_Kosc>,Greg Kosc,gregory john kosc born april 27 1949 in bridgeport connecticut is a former umpire in major league baseball who worked in the american league from 1976 to 1999 he officiated in the world series in 1987 and 1997 and in the allstar game in 1981 and 1992 he also worked the american league championship series in 1979 1988 and 1993 and the american league division series in 1996 and 1997 kosc wore uniform number 18 when the american league umpires adopted them in 1980kosc was the first base umpire for len barkers perfect game on may 15 1981 and was behind the plate for mike witts perfect game on september 30 1984 he is one of only seven umpires to have worked in two perfect games he was an umpire on september 6 1995 when cal ripken jr broke lou gehrigs consecutive games played streak he was also one of the umpires for the singlegame playoff to decide the al west title in 1995 he was one of 22 umpires who submitted their resignations as part of a failed union strategy in 1999 a move that backfired when major league baseball opted to accept the resignations he is a resident of medina ohio
<http://dbpedia.org/resource/Catherine_Dunn>,Catherine Dunn,sister catherine dunn bvm phd is a former president of clarke college in dubuque iowa she was named the 14th president of the school on january 27 1984 she retired on june 30 2006dunn earned her undergraduate and graduate degrees from arizona state university she then joined clarke college as a member of the education faculty she would remain in that post until 1979 when she became the schools vice president of institutional advancement clarke college named dunn the schools 14th president on january 27 1984one of the first major challenges that dunn faced came on may 17 1984 when a fire destroyed three of the historic buildings on campus dunn oversaw the reconstruction of the buildings which was completed in 1986 the council for the advancement and support of education gave her its silver award in 1985 and its bronze award in 1986 for her leadership during and following the firedunn has served on the national association of independent colleges and universities the council of independent colleges cic the council for the advancement and support of education the iowa college foundation icf and the iowa association of independent colleges and universities iaicu in 1989 dunn was also named to the iowa transportation commission and in 1994 was named the first female chair of the commission dunn also served on the boards of the junior achievement of the tristates the dubuque area chamber of commerce american trust and savings bank and the tristate community health centerdunn has also received numerous honors and awards during her career the telegraph herald gave her its first citizen award in 1986 the dubuque chamber of commerece awarded her the distinguished civic service award in 1993 she received the dubuque jaycees 1996 gilbert chavanelle award in 2000 the des moines register named her as one of the 50 most influential iowans dunn holds honorary degrees from loras college mount st clare college today ashford university the university of dubuque and st ambrose universityearly in 2006 dunn announced that she was planning to step down from her post joanne burrows sc sisters of charity phd succeeded her as president on july 1 2006
<http://dbpedia.org/resource/Daniel_Fonseca>,Daniel Fonseca,daniel fonseca garis born 13 september 1969 is an uruguayan former footballer now a football agent 1 as a forward he played for italys ssc napoli as roma and juventusfonseca nicknamed el castor the beaver started his football career at nacional his local team in uruguay in 1988 he played 14 games in two years and scored 3 goals winning the south american cup winners cup whilst there in 1990 he moved to cagliari scoring 17 goals in 50 appearances playing mostly on the left than in the centre in 1992 napoli signed him and fonseca managed a more impressive strike rate scoring 31 goals in two seasons in naples including 5 goals against valencia in the uefa cup this form brought attention from as roma who promptly signed him in 1994 during his time with napoli he would occasionally put on the socks of the uruguayan national team which is a shade lighter in colour than napolis socks saying that they would bring him good luck however his three seasons from 1994 to 1997 were far from successful he played as a second striker supporting the argentine centre forward abel balbo but because of the many injuries he suffered he played discontinuouslyjuventus signed fonseca in 1997 but again was played out of position on the left as he had been at cagliari and as roma his goalscoring record in serie a was very good considering he was not always first choice at as roma and at juventus fonseca was always regarded as a super sub and scored important goals coming off the bench he won one serie a title a champions league runnerup medal and the supercoppa italiana whilst thereinjury ruled him completely out of the 19992000 season which saw him transferred to river plate in argentina there he infamously played only during the clubs 2000 preseason his only match was a preseason encounter against archrivals boca juniors earning a win by scoring the final penalty in the shootout a few days later fonseca would resign from his contract and join como in 2001 he retired in 2003 after the coach said he wasnt in his first team plans 2
<http://dbpedia.org/resource/Jordan_Katembula>,Jordan Katembula,jordan katembula is a zambian musicianjks full name is jordan katembula and hes a very popular zambian vocalist composer and producer the fifth son of both a businessman and woman jordan was born in 1978 in ndola zambia his junior school was chilengwa basic school in ndola and he completed his secondary education at lubuto school also in ndola jordan started embracing music with his peers as early as the age of eight whilst in his fourth year of junior school jordan says i was always singing at home school always but i chose to keep it to myself maybe because at the time i was not confident enough to sing to an audience i enjoyed itjordan stepped onto the show bizz gush in 1997 when he first recorded his demo at the savoy hotel in ndola with a band known as the ukwa band after huge applauses and credits jordan decided to trek to lusaka for greener pastures where he met one of zambias wellrenowned rap artists mc wabwino at the heritage studio it was at this point that jk was showcased when he featured on mc wabwinos popular album yamene yamene jordan goes on to explain in 1999 i felt it was time to move on and create music and this prompted me to team up with a very good friend kelvin mwesa and together we formed a group called new age and i became the lead vocalist initially our intention as new age was to produce a gospel album but then we conscripted our sound engineer and producer sebastian mutale and decided to change the whole gospel concept to something more secular instead we released two albums our well renowned debut biyoyo and chikokoshi which did very well tooduring the year 2000 jordan also worked with the allboy group just close and sang with them on their smash hit twamilumbanya which was featured on the rhythm nation project jks unblemished voice also features on shatels debut album chikondi on the hit song naitopela that has dominated music charts he also wrote and produced the track tamwagupile now firmly established as the leading zambian musician of his generation jk has made a tremendous impact on the countrys music scene over the past year his hit songs have dominated the airwaves and his many concerts across the country have mesmerised audiences jks first solo album selftitled jk was released in 2001 in 2002 jk received a ngoma award as well as a kora award nomination he also performed in london and south africa in addition he has got critical acclaim and massive public support for his many concerts and appearances jks second album the 14track helena was released in 2003 it features a wonderful guest appearance by zimbabwean music legend oliver mtukudzi on a track called dzokera in shona and bemba jk uses different languages on helena the title track is in kiswahili in writing the lyrics jk meticulously used a kiswahili dictionary jks style varies from upbeat dance raps ragga to slow ballads all of which he does equally well mbombola on the cd jk has a fantastic congolese soukous beatwith a very supportive team of people that he works with and a determined and energetic attitude jk is moving from strength to strengthhis music career began in a group called new age after leaving the group he released his own debut album the selftitled jkon one track of his follow up album helena he performed a duet with oliver mutukudzi a zimbabwean musicianon no pressure he once again he collaborated on one song with another musician from south africa hugh masekelain 2010 katembula released another album kapiripiri titled after the single kapiripiri it features salma doldia a female zambian artist the album was produced by digital x a lusaka based studio the kapiripiri music video received air play on mtvbase and channel oin 2014 he has released a song titled telemundo loving which is being aired on channel o and all local tv stations in zambia the video is also on youtube
<http://dbpedia.org/resource/Peter_Drury>,Peter Drury,peter drury born 1968 is a football commentator formerly with itv sport as their number two football commentator a role he had held since joining the network in 1998a politics graduate from hull university peter began his career as a journalist with hayters sports agency before joining bbc radio leeds in 1990 as a football and cricket commentator presenter and reporter three years later he moved to bbc network radio sport there he worked for bbc radio five live on a variety of sports including golf three open championships and two ryder cups tennis swimming and the university boat race however it was drurys work on football that made his name he initially began as one of five lives team of reporters on their saturday sport on five programme however following the departure of rob hawthorne to sky sports drury stepped up to the roster and over the next three seasons was a highly regarded member of five lives commentary team a team which included alan green mike ingham and his future itv colleague jon championduring this time drury was highly prolific commentating on many matches both domestically and abroad among his credits was the 1996 champions league final the division one playoff finals of 1996 and 1997 and euro 96in the middle of season 19971998 drury joined itv sport his first match for the network was a dramatic fa cup quarter final replay at bramall lane between sheffield utd and coventry a match utd won on penalties since then drury has held down a highprofile position as itvs number two commentator to clive tyldesley he has commentated at five fifa world cup tournaments in 1998 2002 2006 2010 and 2014 plus four european championships in 2000 2004 2008 and 2012 in addition drury has covered scores of matches many of them live ranging from the premiership uefa champions league and fa cup to the league cup and the football league he has regularly covered the championship playoff final for itv and has also commentated on league cup finals and more recently the uefa cup final drury commentated on his first major international final for itv sport at euro 2008 although this was only for a highlights programme as only the bbc showed the match livedrury has also contributed to itvs coverage of snooker and darts and since 2005 has been the commentator on itvs coverage of the boat race he has also written for the independent newspaper and several sporting publications as well as being the voice of the sony playstation game this is football drury can also be heard commentating on live premier league games for img around the world in places like australia every weekend as well as champions league games on itvpeter lives in hertfordshire with his wife and their three children playing cricket regularly for berkhamsted cc notably their 4th teamhe used to commentate on espn uk before the channel was merged with bt sport where he maintains working usually providing on both the coverage of serie a
